hdi_rank,country,2008,2009,2010,2011,2012,2013,2014,2015,2016
44, Chile,"0,559722222","0,558333333","0,561111111","0,565277778","0,56875","0,575","0,578472222","0,583333333","0,584722222"
86, China,"0,475694444","0,481944444","0,490277778","0,495833333","0,501388889","0,50625","0,5125","0,515972222","0,519444444"
90, Colombia,"0,493055556","0,496527778","0,499305556","0,503472222","0,503472222","0,510416667","0,5125","0,515277778","0,51875"
165, Comoros,"0,326388889","0,330555556","0,334722222","0,338194444","0,342361111","0,346527778","0,347916667","0,348611111","0,348611111"
137, Congo,"0,372222222","0,381944444","0,386805556","0,388888889","0,397916667","0,404166667","0,413194444","0,425694444","0,425"
176, Congo (Democratic Republic of the),"0,270833333","0,275694444","0,282638889","0,288194444","0,291666667","0,295833333","0,302777778","0,308333333","0,313888889"
63, Costa Rica,"0,520833333","0,522222222","0,523611111","0,527777778","0,536111111","0,538888889","0,541666667","0,547222222","0,549305556"
46, Croatia,"0,557638889","0,556944444","0,561111111","0,565972222","0,566666667","0,570138889","0,572222222","0,574305556","0,575"
73, Cuba,"0,541666667","0,543055556","0,540972222","0,540277778","0,532638889","0,53125","0,533333333","0,536111111","0,5375"
32, Cyprus,"0,591666667","0,594444444","0,590277778","0,592361111","0,591666667","0,592361111","0,594444444","0,597222222","0,602083333"
27, Czechia,"0,593055556","0,595138889","0,598611111","0,600694444","0,600694444","0,606944444","0,610416667","0,6125","0,614583333"
170, C™te d'Ivoire,"0,298611111","0,303472222","0,306944444","0,309027778","0,315277778","0,320833333","0,322916667","0,331944444","0,3375"
11, Denmark,"0,63125","0,629166667","0,631944444","0,640277778","0,641666667","0,646527778","0,644444444","0,643055556","0,644444444"
172, Djibouti,"0,302083333","0,30625","0,311805556","0,315277778","0,31875","0,321527778","0,324305556","0,326388889","0,329166667"
103, Dominica,"0,5","0,5","0,501388889","0,501388889","0,500694444","0,500694444","0,502777778","0,500694444","0,498611111"
94, Dominican Republic,"0,482638889","0,483333333","0,488194444","0,490277778","0,493055556","0,495138889","0,498611111","0,50625","0,509027778"
86, Ecuador,"0,49375","0,494444444","0,496527778","0,500694444","0,504166667","0,509722222","0,515277778","0,515972222","0,520138889"
115, Egypt,"0,456944444","0,458333333","0,461805556","0,463888889","0,46875","0,472222222","0,474305556","0,479861111","0,481944444"
121, El Salvador,"0,457638889","0,457638889","0,465972222","0,4625","0,465277778","0,465972222","0,465277778","0,468055556","0,471527778"
141, Equatorial Guinea,"0,406944444","0,409027778","0,403472222","0,405555556","0,409027778","0,409722222","0,409722222","0,411805556","0,411805556"
179, Eritrea,"0,282638889","0,288888889","0,288888889","0,289583333","0,293055556","0,295138889","0,297222222","0,300694444","0,302777778"
30, Estonia,"0,584027778","0,582638889","0,586805556","0,592361111","0,596527778","0,598611111","0,6","0,601388889","0,602777778"
144, Eswatini (Kingdom of),"0,359027778","0,365972222","0,373611111","0,381944444","0,389583333","0,397222222","0,402777778","0,405555556","0,406944444"
173, Ethiopia,"0,273611111","0,278472222","0,286111111","0,29375","0,298611111","0,304166667","0,309027778","0,313194444","0,317361111"
92, Fiji,"0,488194444","0,490972222","0,49375","0,497916667","0,499305556","0,504861111","0,506944444","0,5125","0,5125"
15, Finland,"0,627777778","0,624305556","0,627083333","0,629861111","0,630555556","0,633333333","0,634722222","0,635416667","0,6375"
24, France,"0,609722222","0,609722222","0,6125","0,613888889","0,615277778","0,617361111","0,620833333","0,623611111","0,624305556"
110, Gabon,"0,453472222","0,459027778","0,461805556","0,465277778","0,470833333","0,477083333","0,48125","0,481944444","0,484722222"
174, Gambia,"0,302083333","0,304166667","0,30625","0,305555556","0,309027778","0,314583333","0,315277778","0,317361111","0,317361111"
70, Georgia,"0,505555556","0,507638889","0,510416667","0,514583333","0,520833333","0,525694444","0,53125","0,535416667","0,538888889"
5, Germany,"0,636805556","0,636805556","0,639583333","0,643055556","0,644444444","0,644444444","0,645833333","0,647916667","0,648611111"
140, Ghana,"0,376388889","0,379861111","0,384722222","0,390972222","0,395833333","0,400694444","0,4","0,40625","0,408333333"
31, Greece,"0,595138889","0,595833333","0,594444444","0,591666667","0,593055556","0,594444444","0,6","0,601388889","0,602777778"
75, Grenada,"0,513194444","0,5125","0,515972222","0,51875","0,520138889","0,523611111","0,528472222","0,532638889","0,534722222"
127, Guatemala,"0,415277778","0,419444444","0,424305556","0,429861111","0,425694444","0,427777778","0,446527778","0,447916667","0,450694444"
175, Guinea,"0,275","0,277083333","0,280555556","0,290277778","0,297222222","0,302083333","0,305555556","0,307638889","0,311805556"
177, Guinea-Bissau,"0,288194444","0,292361111","0,295833333","0,302083333","0,303472222","0,305555556","0,309027778","0,311805556","0,314583333"
125, Guyana,"0,43125","0,433333333","0,4375","0,44375","0,445833333","0,447916667","0,45","0,452083333","0,452777778"
