HDI Rank;Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
12; Canada;0,589583333;0,592361111;0,594444444;0,593055556;0,596527778;0,597916667;0,599305556;0,598611111;0,597916667;0,6;0,602083333;0,605555556;0,609027778;0,6125;0,615972222;0,619444444;0,621527778;0,622916667;0,624305556;0,624305556;0,626388889;0,628472222;0,630555556;0,632638889;0,6375;0,638888889;0,640277778;0,643055556
188; Central African Republic;0,220138889;0,216666667;0,207638889;0,207638889;0,209027778;0,210416667;0,208333333;0,209722222;0,211111111;0,213888889;0,214583333;0,215972222;0,216666667;0,215972222;0,21875;0,221527778;0,225694444;0,229861111;0,234027778;0,238194444;0,24375;0,248611111;0,253472222;0,238888889;0,242361111;0,247916667;0,251388889;0,254861111
186; Chad;;;;;;;;;;;0,207638889;0,2125;0,215972222;0,214583333;0,224305556;0,229166667;0,230555556;0,2375;0,241666667;0,252083333;0,257638889;0,265277778;0,271527778;0,275694444;0,279861111;0,282638889;0,28125;0,280555556
44; Chile;0,486805556;0,49375;0,499305556;0,495138889;0,498611111;0,504861111;0,509722222;0,514583333;0,51875;0,522916667;0,527083333;0,531944444;0,533333333;0,5375;0,54375;0,547222222;0,547222222;0,552083333;0,559722222;0,558333333;0,561111111;0,565277778;0,56875;0,575;0,578472222;0,583333333;0,584722222;0,585416667
86; China;0,348611111;0,354166667;0,361805556;0,36875;0,375694444;0,381944444;0,388194444;0,394444444;0,4;0,40625;0,4125;0,418055556;0,424305556;0,432638889;0,440972222;0,449305556;0,459027778;0,46875;0,475694444;0,481944444;0,490277778;0,495833333;0,501388889;0,50625;0,5125;0,515972222;0,519444444;0,522222222
90; Colombia;0,411111111;0,413194444;0,420833333;0,425;0,429861111;0,434027778;0,440277778;0,445833333;0,450694444;0,450694444;0,453472222;0,455555556;0,456944444;0,45625;0,465972222;0,474305556;0,479861111;0,488888889;0,493055556;0,496527778;0,499305556;0,503472222;0,503472222;0,510416667;0,5125;0,515277778;0,51875;0,51875
165; Comoros;;;;;;;;;;;;;;;0,311805556;0,315972222;0,320138889;0,323611111;0,326388889;0,330555556;0,334722222;0,338194444;0,342361111;0,346527778;0,347916667;0,348611111;0,348611111;0,349305556
137; Congo;0,372222222;0,371527778;0,371527778;0,366666667;0,363888889;0,352083333;0,35;0,350694444;0,353472222;0,344444444;0,340277778;0,34375;0,345138889;0,345833333;0,347916667;0,347222222;0,349305556;0,361111111;0,372222222;0,381944444;0,386805556;0,388888889;0,397916667;0,404166667;0,413194444;0,425694444;0,425;0,420833333
176; Congo (Democratic Republic of the);0,247222222;0,245138889;;0,236111111;0,231944444;0,23125;0,234027778;0,231944444;0,231944444;0,229861111;0,23125;0,23125;0,236111111;0,242361111;0,247916667;0,252777778;0,258333333;0,263194444;0,270833333;0,275694444;0,282638889;0,288194444;0,291666667;0,295833333;0,302777778;0,308333333;0,313888889;0,317361111
63; Costa Rica;0,455555556;0,459027778;0,465277778;0,470138889;0,473611111;0,477083333;0,479861111;0,484027778;0,488194444;0,490972222;0,49375;0,495833333;0,497916667;0,500694444;0,503472222;0,505555556;0,509722222;0,515277778;0,520833333;0,522222222;0,523611111;0,527777778;0,536111111;0,538888889;0,541666667;0,547222222;0,549305556;0,551388889
46; Croatia;0,465277778;0,461805556;0,461111111;0,4625;0,472222222;0,483333333;0,492361111;0,499305556;0,507638889;0,513194444;0,520833333;0,527083333;0,531944444;0,535416667;0,540277778;0,54375;0,550694444;0,555555556;0,557638889;0,556944444;0,561111111;0,565972222;0,566666667;0,570138889;0,572222222;0,574305556;0,575;0,577083333
73; Cuba;0,469444444;0,465277778;0,460416667;0,455555556;0,452777778;0,454166667;0,461805556;0,464583333;0,466666667;0,471527778;0,476388889;0,480555556;0,481944444;0,488888889;0,498611111;0,507638889;0,522916667;0,534722222;0,541666667;0,543055556;0,540972222;0,540277778;0,532638889;0,53125;0,533333333;0,536111111;0,5375;0,539583333
32; Cyprus;0,508333333;0,510416667;0,513888889;0,539583333;0,542361111;0,545833333;0,547916667;0,55;0,555555556;0,554861111;0,556944444;0,560416667;0,566666667;0,572222222;0,575;0,577083333;0,58125;0,5875;0,591666667;0,594444444;0,590277778;0,592361111;0,591666667;0,592361111;0,594444444;0,597222222;0,602083333;0,603472222
27; Czechia;0,506944444;0,504166667;0,505555556;0,510416667;0,516666667;0,522916667;0,533333333;0,5375;0,538194444;0,545138889;0,552777778;0,559722222;0,564583333;0,570833333;0,572916667;0,579861111;0,585416667;0,590277778;0,593055556;0,595138889;0,598611111;0,600694444;0,600694444;0,606944444;0,610416667;0,6125;0,614583333;0,616666667
170; Ivory Coast;0,269444444;0,26875;0,26875;0,268055556;0,268055556;0,26875;0,269444444;0,271527778;0,270138889;0,272222222;0,273611111;0,275;0,277083333;0,279166667;0,282638889;0,286805556;0,290277778;0,294444444;0,298611111;0,303472222;0,306944444;0,309027778;0,315277778;0,320833333;0,322916667;0,331944444;0,3375;0,341666667
11; Denmark;0,554861111;0,558333333;0,561805556;0,565972222;0,572222222;0,577083333;0,58125;0,585416667;0,589583333;0,597916667;0,599305556;0,608333333;0,613194444;0,620833333;0,623611111;0,627083333;0,628472222;0,627777778;0,63125;0,629166667;0,631944444;0,640277778;0,641666667;0,646527778;0,644444444;0,643055556;0,644444444;0,645138889
172; Djibouti;;;;;;0,246527778;0,245138889;0,247916667;0,249305556;0,251388889;0,252083333;0,258333333;0,2625;0,269444444;0,275;0,28125;0,288888889;0,295833333;0,302083333;0,30625;0,311805556;0,315277778;0,31875;0,321527778;0,324305556;0,326388889;0,329166667;0,330555556
103; Dominica;;;;;;;;;;;0,48125;0,484027778;0,483333333;0,4875;0,488888889;0,489583333;0,49375;0,496527778;0,5;0,5;0,501388889;0,501388889;0,500694444;0,500694444;0,502777778;0,500694444;0,498611111;0,496527778
94; Dominican Republic;0,415277778;0,41875;0,425;0,429166667;0,432638889;0,436805556;0,440972222;0,445138889;0,448611111;0,452083333;0,45625;0,458333333;0,461111111;0,4625;0,463888889;0,46875;0,473611111;0,479861111;0,482638889;0,483333333;0,488194444;0,490277778;0,493055556;0,495138889;0,498611111;0,50625;0,509027778;0,511111111
86; Ecuador;0,446527778;0,448611111;0,451388889;0,454166667;0,456944444;0,459722222;0,461111111;0,463888889;0,465972222;0,463888889;0,465277778;0,46875;0,471527778;0,473611111;0,477777778;0,48125;0,483333333;0,484722222;0,49375;0,494444444;0,496527778;0,500694444;0,504166667;0,509722222;0,515277778;0,515972222;0,520138889;0,522222222
115; Egypt;0,379166667;0,381944444;0,386805556;0,390277778;0,395138889;0,4;0,405555556;0,410416667;0,411111111;0,420138889;0,424305556;0,427777778;0,430555556;0,431944444;0,436111111;0,440277778;0,445833333;0,451388889;0,456944444;0,458333333;0,461805556;0,463888889;0,46875;0,472222222;0,474305556;0,479861111;0,481944444;0,483333333
121; El Salvador;0,367361111;0,370833333;0,379166667;0,386805556;0,39375;0,400694444;0,40625;0,413194444;0,419444444;0,421527778;0,427083333;0,430555556;0,436111111;0,440972222;0,446527778;0,452083333;0,457638889;0,455555556;0,457638889;0,457638889;0,465972222;0,4625;0,465277778;0,465972222;0,465277778;0,468055556;0,471527778;0,468055556
141; Equatorial Guinea;;;;;;;;;;;0,358333333;0,369444444;0,364583333;0,374305556;0,368055556;0,39375;0,401388889;0,40625;0,406944444;0,409027778;0,403472222;0,405555556;0,409027778;0,409722222;0,409722222;0,411805556;0,411805556;0,410416667
179; Eritrea;;;;;;;;;;;;;;;;0,283333333;0,284027778;0,285416667;0,282638889;0,288888889;0,288888889;0,289583333;0,293055556;0,295138889;0,297222222;0,300694444;0,302777778;0,305555556
30; Estonia;0,509027778;0,505555556;0,499305556;0,494444444;0,497222222;0,504861111;0,5125;0,521527778;0,529861111;0,534027778;0,541666667;0,548611111;0,554861111;0,559722222;0,565277778;0,572916667;0,577777778;0,582638889;0,584027778;0,582638889;0,586805556;0,592361111;0,596527778;0,598611111;0,6;0,601388889;0,602777778;0,604861111
144; Eswatini (Kingdom of);0,372222222;0,372916667;0,372222222;0,36875;0,363888889;0,361111111;0,35625;0,35;0,341666667;0,335416667;0,327083333;0,322222222;0,315972222;0,315277778;0,322916667;0,333333333;0,344444444;0,352083333;0,359027778;0,365972222;0,373611111;0,381944444;0,389583333;0,397222222;0,402777778;0,405555556;0,406944444;0,408333333
173; Ethiopia;;;;;;;;;;;0,196527778;0,206944444;0,2125;0,215277778;0,225694444;0,240277778;0,251388889;0,2625;0,273611111;0,278472222;0,286111111;0,29375;0,298611111;0,304166667;0,309027778;0,313194444;0,317361111;0,321527778
92; Fiji;0,446527778;0,452083333;0,454861111;0,457638889;0,4625;0,467361111;0,469444444;0,46875;0,469444444;0,472916667;0,474305556;0,477083333;0,478472222;0,479861111;0,485416667;0,482638889;0,484722222;0,4875;0,488194444;0,490972222;0,49375;0,497916667;0,499305556;0,504861111;0,506944444;0,5125;0,5125;0,514583333
